Chunk	Chunk Root	Chunk Dep	Chunk Head
their way	way	pobj	in
"3.
Gelochelidon nilotica Hasselq"	Hasselq	dobj	"
"
Gullbilled Tern	Tern	dobj	includes
the marshes	marshes	pobj	on
"4.
Sterna tschegrava Lepech"	Lepech	dobj	includes
Caspian Tern	Tern	dobj	includes
Nueces Bay	Bay	pobj	in
the genus	genus	pobj	of
its northern congeners	congeners	pobj	like
the presence	presence	dobj	resent
an intruder	intruder	pobj	of
its breeding grounds	grounds	pobj	on
Sterna antillarum	antillarum	ROOT	antillarum
Least Tern	Tern	attr	"
"
It	It	nsubj	is
no one	one	nsubj	recorded
the Least Tern	Tern	dobj	recorded
Texas	Texas	pobj	in
Priour	Priour	nsubj	assured
me	me	dobj	assured
the destruction	destruction	pobj	before
Merrill	Merrill	nsubj	found
SenneU	SenneU	conj	Merrill
it	it	nsubj	breeding
sandbars	sandbars	pobj	on
the Rio Grande	Grande	pobj	in
Striker	Striker	nsubj	was
he	he	nsubj	calls
it	it	dobj	calls
I	I	nsubj	found
several skins	skins	dobj	found
this species	species	pobj	of
some thousand millinery pelts	pelts	pobj	among
this locality	locality	pobj	in
Messrs. Fancher	Fancher	pobj	by
Noakes	Noakes	conj	Fancher
Corpus Christi	Christi	pobj	of
one occasion	occasion	pobj	On
I	I	nsubj	noted
a flock	flock	dobj	noted
a dozen	dozen	pobj	of
the town	town	pobj	near
I	I	nsubj	went
the bay	bay	pobj	to
the action	action	pobj	From
these birds	birds	pobj	of
I	I	nsubj	judge
they	they	nsubj	made
their headquarters	headquarters	dobj	made
Hydrochelidon nigra	nigra	attr	"
"
surinamensis Gmel	Gmel	appos	nigra
American Black Tern	Tern	appos	nigra
this bird	bird	dobj	Saw
the mouth	mouth	pobj	at
the Nueces River	River	pobj	of
one Avas	Avas	nsubj	secured
a full plumaged breeding male	male	dobj	secured
nearly a dozen	dozen	dobj	Saw
This species	species	nsubj	is
the vicinity	vicinity	pobj	from
Corpus Christi	Christi	pobj	of
Rhynchops nigra Linn	Linn	attr	"
"
"Abundant and breeding.
9.
Phalacrocorax mexicanus Brandt"	Brandt	attr	"
"
Mexican Cormorant	Cormorant	attr	"
"
An immense flock	flock	nsubjpass	found
these birds	birds	pobj	of
the peninsular flats	flats	pobj	on
the margin	margin	pobj	around
an old pond	pond	pobj	of
One individual	individual	nsubj	was
this flock	flock	pobj	from
a young male	male	attr	was
the year	year	pobj	of
These birds	birds	nsubj	done
breeding	breeding	dobj	done
they	they	nsubj	breed
I	I	nsubj	was
Anas fulvigula maculosa Senn	Senn	appos	10
Mottled Duck	Duck	appos	Senn
the commonest representative	representative	attr	is
its family	family	pobj	of
Nueces Bay	Bay	pobj	on
June	June	pobj	in
it	it	nsubj	breeds
the marshes	marshes	pobj	in
Spatula clypeata Linn	Linn	appos	11
Shoveller	Shoveller	appos	Linn
the mouth	mouth	pobj	at
the Nueces River	River	pobj	of
Ajaja ajaja Linn	Linn	appos	72
Roseate Spoonbill	Spoonbill	appos	Linn
the 28th	28th	pobj	On
May	May	pobj	of
Mr. Priour	Priour	pobj	by
I	I	nsubj	sailed
the mouth	mouth	pobj	to
the Nueces River	River	pobj	of
search	search	pobj	in
these birds	birds	pobj	of
a distance	distance	pobj	At
two miles	miles	pobj	of
a couple	couple	nsubjpass	descried
large flocks	flocks	pobj	of
a dull rosy streak	streak	pobj	as
the water's edge	edge	pobj	along
We	We	nsubj	approached
the aid	aid	pobj	with
a glass	glass	pobj	of
an excellent survey	survey	dobj	make
the flocks	flocks	pobj	of
the act	act	pobj	in
they	they	nsubj	noticed
our jiresence	jiresence	dobj	noticed
about two hundred yards	yards	pobj	within
them	them	pobj	of
the whole company	company	nsubj	raised
four or five hundred individuals	individuals	pobj	of
their heads	heads	dobj	raised
the sudden righting	righting	nsubjpass	succeeded
a most interesting series	series	pobj	by
manoeuvres	manoeuvres	pobj	of
a contraction	contraction	pobj	of
filling	filling	conj	contraction
all the gaps	gaps	pobj	of
the line	line	pobj	in
a rush	rush	pobj	with
wiugs	wiugs	pobj	of
a glorious burst	burst	appos	rush
color	color	pobj	of
they	they	nsubj	arose
Many other detachments	detachments	nsubj	joined
them	them	dobj	joined
the entire flock	flock	nsubj	numbered
some two miles	miles	dobj	alighted
their former feeding ground	ground	pobj	to
